protein_accession_clean,gene_symbol,protein_name_final,HPX,Tf,control,present_in_HPX,present_in_Tf,present_in_control,candidate_HPX_specific,candidate_shared_HPX_Tf,candidate_HPX_over_background_score
P08727,KRT19,"Keratin, type I cytoskeletal 19",1.0,0.0,2.0,True,False,True,False,False,-1.0
P0DME0,SETSIP,Protein SETSIP,1.0,0.0,2.0,True,False,True,False,False,-1.0
P13010,XRCC5,DNA repair protein Ku80,1.0,0.0,2.0,True,False,True,False,False,-1.0
P14625,HSP90B1,Endoplasmin,1.0,0.0,2.0,True,False,True,False,False,-1.0
P28332,ADH6,Alcohol dehydrogenase 6,1.0,0.0,2.0,True,False,True,False,False,-1.0
P30533,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,1.0,0.0,2.0,True,False,True,False,False,-1.0
P35900,KRT20,"Keratin, type I cytoskeletal 20",1.0,0.0,2.0,True,False,True,False,False,-1.0
P36578,RPL4,Large ribosomal subunit protein uL4,1.0,0.0,2.0,True,False,True,False,False,-1.0
Q00839,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,1.0,0.0,2.0,True,False,True,False,False,-1.0
Q01105,SET,Protein SET,1.0,0.0,2.0,True,False,True,False,False,-1.0
Q6S8J3,POTEE,POTE ankyrin domain family member E,1.0,2.0,2.0,True,True,True,False,True,-1.0
Q86Y46,KRT73,"Keratin, type II cytoskeletal 73",1.0,0.0,2.0,True,False,True,False,False,-1.0
Q9UK22,FBXO2,F-box only protein 2,1.0,0.0,2.0,True,False,True,False,False,-1.0
A0A8I5KQE6,RPSA2,Small ribosomal subunit protein uS2B,0.0,0.0,1.0,False,False,True,False,False,-1.0
A1L0T0,HACL2,2-hydroxyacyl-CoA lyase 2,0.0,0.0,1.0,False,False,True,False,False,-1.0
A6NHL2,TUBAL3,Tubulin alpha chain-like 3,0.0,0.0,1.0,False,False,True,False,False,-1.0
A6NIZ1,RAP1BL,Ras-related protein Rap-1b-like protein,0.0,0.0,1.0,False,False,True,False,False,-1.0
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,0.0,0.0,1.0,False,False,True,False,False,-1.0
O00410,IPO5,Importin-5,0.0,0.0,1.0,False,False,True,False,False,-1.0
O00483,COXFA4,Cytochrome c oxidase subunit FA4,0.0,0.0,1.0,False,False,True,False,False,-1.0
O14617,AP3D1,AP-3 complex subunit delta-1,0.0,0.0,1.0,False,False,True,False,False,-1.0
O14949,UQCRQ,Cytochrome b-c1 complex subunit 8,0.0,0.0,1.0,False,False,True,False,False,-1.0
O15260,SURF4,Surfeit locus protein 4,0.0,0.0,1.0,False,False,True,False,False,-1.0
O43169,CYB5B,Cytochrome b5 type B,0.0,0.0,1.0,False,False,True,False,False,-1.0
O43826,SLC37A4,Glucose-6-phosphate exchanger SLC37A4,0.0,0.0,1.0,False,False,True,False,False,-1.0
O60313,OPA1,"Dynamin-like GTPase OPA1, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
O60427,FADS1,Acyl-CoA (8-3)-desaturase,0.0,0.0,1.0,False,False,True,False,False,-1.0
O60684,KPNA6,Importin subunit alpha-7,0.0,0.0,1.0,False,False,True,False,False,-1.0
O60762,DPM1,Dolichol-phosphate mannosyltransferase subunit 1,0.0,0.0,1.0,False,False,True,False,False,-1.0
O60763,USO1,General vesicular transport factor p115,0.0,0.0,1.0,False,False,True,False,False,-1.0
O75533,SF3B1,Splicing factor 3B subunit 1,0.0,0.0,1.0,False,False,True,False,False,-1.0
O75907,DGAT1,Diacylglycerol O-acyltransferase 1,0.0,0.0,1.0,False,False,True,False,False,-1.0
O75936,BBOX1,Gamma-butyrobetaine dioxygenase,0.0,0.0,1.0,False,False,True,False,False,-1.0
O94903,PLPBP,Pyridoxal phosphate homeostasis protein,0.0,0.0,1.0,False,False,True,False,False,-1.0
O94973,AP2A2,AP-2 complex subunit alpha-2,0.0,0.0,1.0,False,False,True,False,False,-1.0
O94979,SEC31A,Protein transport protein Sec31A,0.0,0.0,1.0,False,False,True,False,False,-1.0
O95218,ZRANB2,Zinc finger Ran-binding domain-containing protein 2,0.0,0.0,1.0,False,False,True,False,False,-1.0
O95340,PAPSS2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,0.0,0.0,1.0,False,False,True,False,False,-1.0
O95394,PGM3,Phosphoacetylglucosamine mutase,0.0,0.0,1.0,False,False,True,False,False,-1.0
O95870,ABHD16A,Phosphatidylserine lipase ABHD16A,0.0,0.0,1.0,False,False,True,False,False,-1.0
P01893,HLA-H,"Putative HLA class I histocompatibility antigen, alpha chain H",0.0,0.0,1.0,False,False,True,False,False,-1.0
P02810,PRH1,Salivary acidic proline-rich phosphoprotein 1/2,0.0,0.0,1.0,False,False,True,False,False,-1.0
P04075,ALDOA,Fructose-bisphosphate aldolase A,0.0,0.0,1.0,False,False,True,False,False,-1.0
P04083,ANXA1,Annexin A1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P04439,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",0.0,0.0,1.0,False,False,True,False,False,-1.0
P04844,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,0.0,0.0,1.0,False,False,True,False,False,-1.0
P05023,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P05089,ARG1,Arginase-1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P05109,S100A8,Protein S100-A8,0.0,0.0,1.0,False,False,True,False,False,-1.0
P05164,MPO,Myeloperoxidase,0.0,0.0,1.0,False,False,True,False,False,-1.0
P07148,FABP1,"Fatty acid-binding protein, liver",0.0,0.0,1.0,False,False,True,False,False,-1.0
P07919,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
P07951,TPM2,Tropomyosin beta chain,0.0,0.0,1.0,False,False,True,False,False,-1.0
P08574,CYC1,"Cytochrome c1, heme protein, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
P08708,RPS17,Small ribosomal subunit protein eS17,0.0,0.0,1.0,False,False,True,False,False,-1.0
P08865,RPSA,Small ribosomal subunit protein uS2,0.0,0.0,1.0,False,False,True,False,False,-1.0
P09132,SRP19,Signal recognition particle 19 kDa protein,0.0,0.0,1.0,False,False,True,False,False,-1.0
P09327,VIL1,Villin-1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P09493,TPM1,Tropomyosin alpha-1 chain,0.0,0.0,1.0,False,False,True,False,False,-1.0
P09525,ANXA4,Annexin A4,0.0,0.0,1.0,False,False,True,False,False,-1.0
P09543,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",0.0,0.0,1.0,False,False,True,False,False,-1.0
P0CG39,POTEJ,POTE ankyrin domain family member J,0.0,2.0,1.0,False,True,True,False,False,-1.0
P10321,HLA-C,"HLA class I histocompatibility antigen, C alpha chain",0.0,0.0,1.0,False,False,True,False,False,-1.0
P10412,H1-4,Histone H1.4,0.0,0.0,1.0,False,False,True,False,False,-1.0
P11940,PABPC1,Polyadenylate-binding protein 1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P12814,ACTN1,Alpha-actinin-1,0.0,0.0,1.0,False,False,True,False,False,-1.0
P13804,ETFA,"Electron transfer flavoprotein subunit alpha, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
P14174,MIF,Macrophage migration inhibitory factor,0.0,0.0,1.0,False,False,True,False,False,-1.0
P14868,DARS1,"Aspartate--tRNA ligase, cytoplasmic",0.0,0.0,1.0,False,False,True,False,False,-1.0
P15428,HPGD,15-hydroxyprostaglandin dehydrogenase [NAD(+)],0.0,0.0,1.0,False,False,True,False,False,-1.0
P15531,NME1,Nucleoside diphosphate kinase A,0.0,0.0,1.0,False,False,True,False,False,-1.0
P16219,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
P16403,H1-2,Histone H1.2,0.0,0.0,1.0,False,False,True,False,False,-1.0
P16615,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,0.0,0.0,1.0,False,False,True,False,False,-1.0
P16930,FAH,Fumarylacetoacetase,0.0,0.0,1.0,False,False,True,False,False,-1.0
P17655,CAPN2,Calpain-2 catalytic subunit,0.0,0.0,1.0,False,False,True,False,False,-1.0
P17844,DDX5,Probable ATP-dependent RNA helicase DDX5,0.0,0.0,1.0,False,False,True,False,False,-1.0
P17931,LGALS3,Galectin-3,0.0,0.0,1.0,False,False,True,False,False,-1.0
P17980,PSMC3,26S proteasome regulatory subunit 6A,0.0,0.0,1.0,False,False,True,False,False,-1.0
P18077,RPL35A,Large ribosomal subunit protein eL33,0.0,0.0,1.0,False,False,True,False,False,-1.0
P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,0.0,0.0,1.0,False,False,True,False,False,-1.0
P21127,CDK11B,Cyclin-dependent kinase 11B,0.0,0.0,1.0,False,False,True,False,False,-1.0
P21912,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",0.0,0.0,1.0,False,False,True,False,False,-1.0
