protein_accession_clean,uniprot_id,gene_symbol,protein_name_uniprot,organism_name,annotation_source
Q08477,CP4F3_HUMAN,CYP4F3,Cytochrome P450 4F3,Homo sapiens,uniprot_api
Q07955,SRSF1_HUMAN,SRSF1,Serine/arginine-rich splicing factor 1,Homo sapiens,uniprot_api
Q10567,AP1B1_HUMAN,AP1B1,AP-1 complex subunit beta-1,Homo sapiens,uniprot_api
Q12772,SRBP2_HUMAN,SREBF2,Sterol regulatory element-binding protein 2,Homo sapiens,uniprot_api
Q08426,ECHP_HUMAN,EHHADH,Peroxisomal bifunctional enzyme,Homo sapiens,uniprot_api
Q13243,SRSF5_HUMAN,SRSF5,Serine/arginine-rich splicing factor 5,Homo sapiens,uniprot_api
Q13247,SRSF6_HUMAN,SRSF6,Serine/arginine-rich splicing factor 6,Homo sapiens,uniprot_api
Q12965,MYO1E_HUMAN,MYO1E,Unconventional myosin-Ie,Homo sapiens,uniprot_api
Q13162,PRDX4_HUMAN,PRDX4,Peroxiredoxin-4,Homo sapiens,uniprot_api
Q13822,ENPP2_HUMAN,ENPP2,Autotaxin,Homo sapiens,uniprot_api
Q13011,ECH1_HUMAN,ECH1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",Homo sapiens,uniprot_api
Q13610,PWP1_HUMAN,PWP1,Periodic tryptophan protein 1 homolog,Homo sapiens,uniprot_api
Q13733,AT1A4_HUMAN,ATP1A4,Sodium/potassium-transporting ATPase subunit alpha-4,Homo sapiens,uniprot_api
Q13868,EXOS2_HUMAN,EXOSC2,Exosome complex component RRP4,Homo sapiens,uniprot_api
Q13885,TBB2A_HUMAN,TUBB2A,Tubulin beta-2A chain,Homo sapiens,uniprot_api
Q14165,MLEC_HUMAN,MLEC,Malectin,Homo sapiens,uniprot_api
Q12907,LMAN2_HUMAN,LMAN2,Vesicular integral-membrane protein VIP36,Homo sapiens,uniprot_api
Q13200,PSMD2_HUMAN,PSMD2,26S proteasome non-ATPase regulatory subunit 2,Homo sapiens,uniprot_api
Q13445,TMED1_HUMAN,TMED1,Transmembrane emp24 domain-containing protein 1,Homo sapiens,uniprot_api
Q13637,RAB32_HUMAN,RAB32,Ras-related protein Rab-32,Homo sapiens,uniprot_api
Q13423,NNTM_HUMAN,NNT,"NAD(P) transhydrogenase, mitochondrial",Homo sapiens,uniprot_api
Q14032,BAAT_HUMAN,BAAT,Bile acid-CoA:amino acid N-acyltransferase,Homo sapiens,uniprot_api
Q13228,SBP1_HUMAN,SELENBP1,Methanethiol oxidase,Homo sapiens,uniprot_api
Q13268,DHRS2_HUMAN,DHRS2,"Dehydrogenase/reductase SDR family member 2, mitochondrial",Homo sapiens,uniprot_api
Q13835,PKP1_HUMAN,PKP1,Plakophilin-1,Homo sapiens,uniprot_api
Q14117,DPYS_HUMAN,DPYS,Dihydropyrimidinase,Homo sapiens,uniprot_api
