protein_accession_clean,uniprot_id,gene_symbol,protein_name_uniprot,organism_name,annotation_source
A0A075B6P5,KV228_HUMAN,IGKV2-28,Immunoglobulin kappa variable 2-28,Homo sapiens,uniprot_api
A0A075B6S6,KVD30_HUMAN,IGKV2D-30,Immunoglobulin kappa variable 2D-30,Homo sapiens,uniprot_api
A0A075B767,PAL4H_HUMAN,PPIAL4H,Peptidyl-prolyl cis-trans isomerase A-like 4H,Homo sapiens,uniprot_api
A0A087WW87,KV240_HUMAN,IGKV2-40,Immunoglobulin kappa variable 2-40,Homo sapiens,uniprot_api
A0A0A0MRZ7,KVD26_HUMAN,IGKV2D-26,Immunoglobulin kappa variable 2D-26,Homo sapiens,uniprot_api
A0A0A0MS14,HV145_HUMAN,IGHV1-45,Immunoglobulin heavy variable 1-45,Homo sapiens,uniprot_api
A0A0C4DH25,KVD20_HUMAN,IGKV3D-20,Immunoglobulin kappa variable 3D-20,Homo sapiens,uniprot_api
A0A075B6S2,KVD29_HUMAN,IGKV2D-29,Immunoglobulin kappa variable 2D-29,Homo sapiens,uniprot_api
A0A0A0MS15,HV349_HUMAN,IGHV3-49,Immunoglobulin heavy variable 3-49,Homo sapiens,uniprot_api
A0A0B4J1V6,HV373_HUMAN,IGHV3-73,Immunoglobulin heavy variable 3-73,Homo sapiens,uniprot_api
A0A0C4DH42,HV366_HUMAN,IGHV3-66,Immunoglobulin heavy variable 3-66,Homo sapiens,uniprot_api
A0A075B6H7,KV37_HUMAN,IGKV3-7,Probable non-functional immunoglobulin kappa variable 3-7,Homo sapiens,uniprot_api
A0A0B4J1X5,HV374_HUMAN,IGHV3-74,Immunoglobulin heavy variable 3-74,Homo sapiens,uniprot_api
A0A0C4DH26,KVD41_HUMAN,IGKV6D-41,Probable non-functional immunoglobulin kappa variable 6D-41,Homo sapiens,uniprot_api
A0A075B6K5,LV39_HUMAN,IGLV3-9,Immunoglobulin lambda variable 3-9,Homo sapiens,uniprot_api
A0A0A0MT36,KVD21_HUMAN,IGKV6D-21,Immunoglobulin kappa variable 6D-21,Homo sapiens,uniprot_api
A0A0B4J2A2,PAL4C_HUMAN,PPIAL4C,Peptidyl-prolyl cis-trans isomerase A-like 4C,Homo sapiens,uniprot_api
A0A075B759,PAL4E_HUMAN,PPIAL4E,Peptidyl-prolyl cis-trans isomerase A-like 4E,Homo sapiens,uniprot_api
A0A087WYE8,A0A087WYE8_HUMAN,IGHV1OR21-1,Immunoglobulin heavy variable 1/OR21-1 (non-functional),Homo sapiens,uniprot_api
A0A0B4J2B5,A0A0B4J2B5_HUMAN,IGHV3OR16-9,Immunoglobulin heavy variable 3/OR16-9 (non-functional),Homo sapiens,uniprot_api
A0A075B7D0,A0A075B7D0_HUMAN,IGHV1OR15-1,Immunoglobulin heavy variable 1/OR15-1 (non-functional),Homo sapiens,uniprot_api
A0A075B7B8,A0A075B7B8_HUMAN,IGHV3OR16-12,Immunoglobulin heavy variable 3/OR16-12 (non-functional),Homo sapiens,uniprot_api
A0A075B7E8,A0A075B7E8_HUMAN,IGHV3OR16-13,Immunoglobulin heavy variable 3/OR16-13 (non-functional),Homo sapiens,uniprot_api
A0A0B4J2B8,A0A0B4J2B8_HUMAN,IGHV1OR15-9,Immunoglobulin heavy variable 1/OR15-9 (non-functional),Homo sapiens,uniprot_api
A0A0B4J2D5,GAL3B_HUMAN,,,,uniprot_api
A1L0T0,HACL2_HUMAN,HACL2,2-hydroxyacyl-CoA lyase 2,Homo sapiens,uniprot_api
A6NHL2,TBAL3_HUMAN,TUBAL3,Tubulin alpha chain-like 3,Homo sapiens,uniprot_api
A6NNZ2,TBB8B_HUMAN,TUBB8B,Tubulin beta 8B,Homo sapiens,uniprot_api
A8CG34,P121C_HUMAN,POM121C,Nuclear envelope pore membrane protein POM 121C,Homo sapiens,uniprot_api
A5A3E0,POTEF_HUMAN,POTEF,POTE ankyrin domain family member F,Homo sapiens,uniprot_api
B0L3A2,DESPR_HUMAN,FBXW7-AS1,Dual endothelin-1/VEGF signal peptide receptor,Homo sapiens,uniprot_api
A6NMY6,AXA2L_HUMAN,ANXA2P2,Putative annexin A2-like protein,Homo sapiens,uniprot_api
A0A8I5KQE6,RPSA2_HUMAN,RPSA2,Small ribosomal subunit protein uS2B,Homo sapiens,uniprot_api
A0M8Q6,IGLC7_HUMAN,IGLC7,Immunoglobulin lambda constant 7,Homo sapiens,uniprot_api
A4D256,CC14C_HUMAN,CDC14C,Dual specificity protein phosphatase CDC14C,Homo sapiens,uniprot_api
A0A8I5KW96,A0A8I5KW96_HUMAN,AK4P3,"Adenylate kinase 4, mitochondrial",Homo sapiens,uniprot_api
A2NJV5,KV229_HUMAN,IGKV2-29,Immunoglobulin kappa variable 2-29,Homo sapiens,uniprot_api
A0A0C4DH55,KVD07_HUMAN,IGKV3D-7,Immunoglobulin kappa variable 3D-7,Homo sapiens,uniprot_api
A6NIZ1,RP1BL_HUMAN,RAP1BL,Ras-related protein Rap-1b-like protein,Homo sapiens,uniprot_api
A0A2R8Y4L2,RA1L3_HUMAN,HNRNPA1L3,Heterogeneous nuclear ribonucleoprotein A1-like 3,Homo sapiens,uniprot_api
A6NKH3,RL37L_HUMAN,RPL37AP8,Putative ribosomal protein eL43-like,Homo sapiens,uniprot_api
A0A1B0GUV7,TEX48_HUMAN,TEX48,Testis-expressed protein 48,Homo sapiens,uniprot_api
A0A0J9YY99,A0A0J9YY99_HUMAN,,Ig-like domain-containing protein,Homo sapiens,uniprot_api
A0AAG2TTP8,A0AAG2TTP8_HUMAN,,40S ribosomal protein S8,Homo sapiens,uniprot_api
A0A0C4DH90,A0A0C4DH90_HUMAN,IGKV3OR2-268,Immunoglobulin kappa variable 3/OR2-268 (non-functional),Homo sapiens,uniprot_api
A0AAG2UXZ5,A0AAG2UXZ5_HUMAN,COL18A1,Collagen type XVIII alpha 1 chain,Homo sapiens,uniprot_api
A0AAG2TVE0,A0AAG2TVE0_HUMAN,,Ig-like domain-containing protein,Homo sapiens,uniprot_api
A0AAG2T1P6,A0AAG2T1P6_HUMAN,,POM121-like protein 1,Homo sapiens,uniprot_api
A0AAG2SVT6,A0AAG2SVT6_HUMAN,,Ig-like domain-containing protein,Homo sapiens,uniprot_api
A0AAG2TV02,A0AAG2TV02_HUMAN,,HCG2003024,Homo sapiens,uniprot_api
O00635,TRI38_HUMAN,TRIM38,E3 ubiquitin-protein ligase TRIM38,Homo sapiens,uniprot_api
O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",Homo sapiens,uniprot_api
O00168,PLM_HUMAN,FXYD1,Phospholemman,Homo sapiens,uniprot_api
O14756,H17B6_HUMAN,HSD17B6,17-beta-hydroxysteroid dehydrogenase type 6,Homo sapiens,uniprot_api
O14949,QCR8_HUMAN,UQCRQ,Cytochrome b-c1 complex subunit 8,Homo sapiens,uniprot_api
B2RPK0,HGB1A_HUMAN,HMGB1P1,High mobility group protein B1-like 1,Homo sapiens,uniprot_api
K9M1U5,IFNL4_HUMAN,IFNL4,Interferon lambda-4,Homo sapiens,uniprot_api
O00203,AP3B1_HUMAN,AP3B1,AP-3 complex subunit beta-1,Homo sapiens,uniprot_api
O00461,GOLI4_HUMAN,GOLIM4,Golgi integral membrane protein 4,Homo sapiens,uniprot_api
O00483,CXFA4_HUMAN,COXFA4,Cytochrome c oxidase subunit FA4,Homo sapiens,uniprot_api
O00767,SCD_HUMAN,SCD,Stearoyl-CoA desaturase,Homo sapiens,uniprot_api
O00160,MYO1F_HUMAN,MYO1F,Unconventional myosin-If,Homo sapiens,uniprot_api
O14556,G3PT_HUMAN,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",Homo sapiens,uniprot_api
O14773,TPP1_HUMAN,TPP1,Tripeptidyl-peptidase 1,Homo sapiens,uniprot_api
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,Homo sapiens,uniprot_api
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,Homo sapiens,uniprot_api
O00410,IPO5_HUMAN,IPO5,Importin-5,Homo sapiens,uniprot_api
O00468,AGRIN_HUMAN,AGRN,Agrin,Homo sapiens,uniprot_api
O14617,AP3D1_HUMAN,AP3D1,AP-3 complex subunit delta-1,Homo sapiens,uniprot_api
O00267,SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5,Homo sapiens,uniprot_api
O14874,BCKD_HUMAN,BCKDK,Branched-chain alpha-ketoacid dehydrogenase kinase,Homo sapiens,uniprot_api
B5ME19,EIFCL_HUMAN,EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,Homo sapiens,uniprot_api
B9A064,IGLL5_HUMAN,IGLL5,Immunoglobulin lambda-like polypeptide 5,Homo sapiens,uniprot_api
F5H284,PAL4D_HUMAN,PPIAL4D,Peptidyl-prolyl cis-trans isomerase A-like 4D,Homo sapiens,uniprot_api
Q92882,OSTF1_HUMAN,OSTF1,Osteoclast-stimulating factor 1,Homo sapiens,uniprot_api
O43169,CYB5B_HUMAN,CYB5B,Cytochrome b5 type B,Homo sapiens,uniprot_api
O14975,S27A2_HUMAN,SLC27A2,Long-chain fatty acid transport protein 2,Homo sapiens,uniprot_api
O15260,SURF4_HUMAN,SURF4,Surfeit locus protein 4,Homo sapiens,uniprot_api
O43823,AKAP8_HUMAN,AKAP8,A-kinase anchor protein 8,Homo sapiens,uniprot_api
O43826,G6PT1_HUMAN,SLC37A4,Glucose-6-phosphate exchanger SLC37A4,Homo sapiens,uniprot_api
O60307,MAST3_HUMAN,MAST3,Microtubule-associated serine/threonine-protein kinase 3,Homo sapiens,uniprot_api
O43242,PSMD3_HUMAN,PSMD3,26S proteasome non-ATPase regulatory subunit 3,Homo sapiens,uniprot_api
O43390,HNRPR_HUMAN,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,Homo sapiens,uniprot_api
O43795,MYO1B_HUMAN,MYO1B,Unconventional myosin-Ib,Homo sapiens,uniprot_api
O43707,ACTN4_HUMAN,ACTN4,Alpha-actinin-4,Homo sapiens,uniprot_api
O14966,RAB7L_HUMAN,RAB29,Ras-related protein Rab-29,Homo sapiens,uniprot_api
O15131,IMA6_HUMAN,KPNA5,Importin subunit alpha-6,Homo sapiens,uniprot_api
O15258,RER1_HUMAN,RER1,Protein RER1,Homo sapiens,uniprot_api
O43772,MCAT_HUMAN,SLC25A20,Mitochondrial carnitine/acylcarnitine carrier protein,Homo sapiens,uniprot_api
O60427,FADS1_HUMAN,FADS1,Acyl-CoA (8-3)-desaturase,Homo sapiens,uniprot_api
O14950,ML12B_HUMAN,MYL12B,Myosin regulatory light chain 12B,Homo sapiens,uniprot_api
O43175,SERA_HUMAN,PHGDH,D-3-phosphoglycerate dehydrogenase,Homo sapiens,uniprot_api
O43506,ADA20_HUMAN,ADAM20,Disintegrin and metalloproteinase domain-containing protein 20,Homo sapiens,uniprot_api
O43837,IDH3B_HUMAN,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",Homo sapiens,uniprot_api
O60313,OPA1_HUMAN,OPA1,"Dynamin-like GTPase OPA1, mitochondrial",Homo sapiens,uniprot_api
O43426,SYNJ1_HUMAN,SYNJ1,Synaptojanin-1,Homo sapiens,uniprot_api
O60506,HNRPQ_HUMAN,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,Homo sapiens,uniprot_api
O15371,EIF3D_HUMAN,EIF3D,Eukaryotic translation initiation factor 3 subunit D,Homo sapiens,uniprot_api
O43423,AN32C_HUMAN,ANP32CP,Putative uncharacterized protein ANP32CP,Homo sapiens,uniprot_api
Q9NR22,ANM8_HUMAN,PRMT8,Protein arginine N-methyltransferase 8,Homo sapiens,uniprot_api
O75396,SC22B_HUMAN,SEC22B,Vesicle-trafficking protein SEC22b,Homo sapiens,uniprot_api
O60763,USO1_HUMAN,USO1,General vesicular transport factor p115,Homo sapiens,uniprot_api
O60783,RT14_HUMAN,MRPS14,Small ribosomal subunit protein uS14m,Homo sapiens,uniprot_api
O75521,ECI2_HUMAN,ECI2,Enoyl-CoA delta isomerase 2,Homo sapiens,uniprot_api
O75533,SF3B1_HUMAN,SF3B1,Splicing factor 3B subunit 1,Homo sapiens,uniprot_api
O75083,WDR1_HUMAN,WDR1,WD repeat-containing protein 1,Homo sapiens,uniprot_api
O75452,RDH16_HUMAN,RDH16,Retinol dehydrogenase 16,Homo sapiens,uniprot_api
O75874,IDHC_HUMAN,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,Homo sapiens,uniprot_api
O75891,AL1L1_HUMAN,ALDH1L1,Cytosolic 10-formyltetrahydrofolate dehydrogenase,Homo sapiens,uniprot_api
O60684,IMA7_HUMAN,KPNA6,Importin subunit alpha-7,Homo sapiens,uniprot_api
O60701,UGDH_HUMAN,UGDH,UDP-glucose 6-dehydrogenase,Homo sapiens,uniprot_api
O60762,DPM1_HUMAN,DPM1,Dolichol-phosphate mannosyltransferase subunit 1,Homo sapiens,uniprot_api
O75031,HSF2B_HUMAN,HSF2BP,Heat shock factor 2-binding protein,Homo sapiens,uniprot_api
O75131,CPNE3_HUMAN,CPNE3,Copine-3,Homo sapiens,uniprot_api
O75356,ENTP5_HUMAN,ENTPD5,Nucleoside diphosphate phosphatase ENTPD5,Homo sapiens,uniprot_api
O75509,TNR21_HUMAN,TNFRSF21,Tumor necrosis factor receptor superfamily member 21,Homo sapiens,uniprot_api
O60656,UD19_HUMAN,UGT1A9,UDP-glucuronosyltransferase 1A9,Homo sapiens,uniprot_api
O60841,IF2P_HUMAN,EIF5B,Eukaryotic translation initiation factor 5B,Homo sapiens,uniprot_api
O75636,FCN3_HUMAN,FCN3,Ficolin-3,Homo sapiens,uniprot_api
O60729,CC14B_HUMAN,CDC14B,Dual specificity protein phosphatase CDC14B,Homo sapiens,uniprot_api
O75369,FLNB_HUMAN,FLNB,Filamin-B,Homo sapiens,uniprot_api
O60524,NEMF_HUMAN,NEMF,Ribosome quality control complex subunit NEMF,Homo sapiens,uniprot_api
O75310,UDB11_HUMAN,UGT2B11,UDP-glucuronosyltransferase 2B11,Homo sapiens,uniprot_api
O75352,MPU1_HUMAN,MPDU1,Mannose-P-dolichol utilization defect 1 protein,Homo sapiens,uniprot_api
O60518,RNBP6_HUMAN,RANBP6,Ran-binding protein 6,Homo sapiens,uniprot_api
O75964,ATP5L_HUMAN,ATP5MG,"ATP synthase F(0) complex subunit g, mitochondrial",Homo sapiens,uniprot_api
O95373,IPO7_HUMAN,IPO7,Importin-7,Homo sapiens,uniprot_api
O95394,AGM1_HUMAN,PGM3,Phosphoacetylglucosamine mutase,Homo sapiens,uniprot_api
O95470,SGPL1_HUMAN,SGPL1,Sphingosine-1-phosphate lyase 1,Homo sapiens,uniprot_api
O95479,G6PE_HUMAN,H6PD,GDH/6PGL endoplasmic bifunctional protein,Homo sapiens,uniprot_api
O95741,CPNE6_HUMAN,CPNE6,Copine-6,Homo sapiens,uniprot_api
O95782,AP2A1_HUMAN,AP2A1,AP-2 complex subunit alpha-1,Homo sapiens,uniprot_api
O75907,DGAT1_HUMAN,DGAT1,Diacylglycerol O-acyltransferase 1,Homo sapiens,uniprot_api
O75936,BODG_HUMAN,BBOX1,Gamma-butyrobetaine dioxygenase,Homo sapiens,uniprot_api
O76094,SRP72_HUMAN,SRP72,Signal recognition particle subunit SRP72,Homo sapiens,uniprot_api
O94885,SASH1_HUMAN,SASH1,SAM and SH3 domain-containing protein 1,Homo sapiens,uniprot_api
O95218,ZRAB2_HUMAN,ZRANB2,Zinc finger Ran-binding domain-containing protein 2,Homo sapiens,uniprot_api
O95573,ACSL3_HUMAN,ACSL3,Fatty acid CoA ligase Acsl3,Homo sapiens,uniprot_api
O76031,CLPX_HUMAN,CLPX,"ATP-dependent clpX-like chaperone, mitochondrial",Homo sapiens,uniprot_api
O76062,ERG24_HUMAN,TM7SF2,Delta(14)-sterol reductase TM7SF2,Homo sapiens,uniprot_api
O95340,PAPS2_HUMAN,PAPSS2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,Homo sapiens,uniprot_api
O94832,MYO1D_HUMAN,MYO1D,Unconventional myosin-Id,Homo sapiens,uniprot_api
O95563,MPC2_HUMAN,MPC2,Mitochondrial pyruvate carrier 2,Homo sapiens,uniprot_api
O75947,ATP5H_HUMAN,ATP5PD,"ATP synthase peripheral stalk subunit d, mitochondrial",Homo sapiens,uniprot_api
O94973,AP2A2_HUMAN,AP2A2,AP-2 complex subunit alpha-2,Homo sapiens,uniprot_api
O95180,CAC1H_HUMAN,CACNA1H,Voltage-dependent T-type calcium channel subunit alpha-1H,Homo sapiens,uniprot_api
O75908,SOAT2_HUMAN,SOAT2,Sterol O-acyltransferase 2,Homo sapiens,uniprot_api
O94979,SC31A_HUMAN,SEC31A,Protein transport protein Sec31A,Homo sapiens,uniprot_api
O94903,PLPHP_HUMAN,PLPBP,Pyridoxal phosphate homeostasis protein,Homo sapiens,uniprot_api
O95626,AN32D_HUMAN,ANP32D,Acidic leucine-rich nuclear phosphoprotein 32 family member D,Homo sapiens,uniprot_api
P00326,ADH1G_HUMAN,ADH1C,Alcohol dehydrogenase 1C,Homo sapiens,uniprot_api
P00325,ADH1B_HUMAN,ADH1B,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,Homo sapiens,uniprot_api
O96000,NDUBA_HUMAN,NDUFB10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,Homo sapiens,uniprot_api
O96005,CLPT1_HUMAN,CLPTM1,Putative lipid scramblase CLPTM1,Homo sapiens,uniprot_api
P00338,LDHA_HUMAN,LDHA,L-lactate dehydrogenase A chain,Homo sapiens,uniprot_api
P00480,OTC_HUMAN,OTC,"Ornithine transcarbamylase, mitochondrial",Homo sapiens,uniprot_api
P00505,AATM_HUMAN,GOT2,"Aspartate aminotransferase, mitochondrial",Homo sapiens,uniprot_api
O95870,ABHGA_HUMAN,ABHD16A,Phosphatidylserine lipase ABHD16A,Homo sapiens,uniprot_api
P00352,AL1A1_HUMAN,ALDH1A1,Aldehyde dehydrogenase 1A1,Homo sapiens,uniprot_api
P00367,DHE3_HUMAN,GLUD1,"Glutamate dehydrogenase 1, mitochondrial",Homo sapiens,uniprot_api
P00387,NB5R3_HUMAN,CYB5R3,NADH-cytochrome b5 reductase 3,Homo sapiens,uniprot_api
O95954,FTCD_HUMAN,FTCD,Formimidoyltransferase-cyclodeaminase,Homo sapiens,uniprot_api
P00167,CYB5_HUMAN,CYB5A,Cytochrome b5,Homo sapiens,uniprot_api
P00450,CERU_HUMAN,CP,Ceruloplasmin,Homo sapiens,uniprot_api
P00734,THRB_HUMAN,F2,Prothrombin,Homo sapiens,uniprot_api
P00439,PH4H_HUMAN,PAH,Phenylalanine-4-hydroxylase,Homo sapiens,uniprot_api
P00739,HPTR_HUMAN,HPR,Haptoglobin-related protein,Homo sapiens,uniprot_api
P00746,CFAD_HUMAN,CFD,Complement factor D,Homo sapiens,uniprot_api
P00747,PLMN_HUMAN,PLG,Plasminogen,Homo sapiens,uniprot_api
P00748,FA12_HUMAN,F12,Coagulation factor XII,Homo sapiens,uniprot_api
O95793,STAU1_HUMAN,STAU1,Double-stranded RNA-binding protein Staufen homolog 1,Homo sapiens,uniprot_api
O95864,FADS2_HUMAN,FADS2,Acyl-CoA 6-desaturase,Homo sapiens,uniprot_api
P00738,HPT_HUMAN,HP,Haptoglobin,Homo sapiens,uniprot_api
O96011,PX11B_HUMAN,PEX11B,Peroxisomal membrane protein 11B,Homo sapiens,uniprot_api
O95831,AIFM1_HUMAN,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",Homo sapiens,uniprot_api
P01834,IGKC_HUMAN,IGKC,Immunoglobulin kappa constant,Homo sapiens,uniprot_api
P00846,ATP6_HUMAN,MT-ATP6,ATP synthase F(0) complex subunit a,Homo sapiens,uniprot_api
P01615,KVD28_HUMAN,IGKV2D-28,Immunoglobulin kappa variable 2D-28,Homo sapiens,uniprot_api
P01764,HV323_HUMAN,IGHV3-23,Immunoglobulin heavy variable 3-23,Homo sapiens,uniprot_api
P01023,A2MG_HUMAN,A2M,Alpha-2-macroglobulin,Homo sapiens,uniprot_api
P00915,CAH1_HUMAN,CA1,Carbonic anhydrase 1,Homo sapiens,uniprot_api
P01008,ANT3_HUMAN,SERPINC1,Antithrombin-III,Homo sapiens,uniprot_api
P01009,A1AT_HUMAN,SERPINA1,Alpha-1-antitrypsin,Homo sapiens,uniprot_api
P01019,ANGT_HUMAN,AGT,Angiotensinogen,Homo sapiens,uniprot_api
P01033,TIMP1_HUMAN,TIMP1,Metalloproteinase inhibitor 1,Homo sapiens,uniprot_api
P01768,HV330_HUMAN,IGHV3-30,Immunoglobulin heavy variable 3-30,Homo sapiens,uniprot_api
P00966,ASSY_HUMAN,ASS1,Argininosuccinate synthase,Homo sapiens,uniprot_api
P01772,HV333_HUMAN,IGHV3-33,Immunoglobulin heavy variable 3-33,Homo sapiens,uniprot_api
P01037,CYTN_HUMAN,CST1,Cystatin-SN,Homo sapiens,uniprot_api
P00918,CAH2_HUMAN,CA2,Carbonic anhydrase 2,Homo sapiens,uniprot_api
P01036,CYTS_HUMAN,CST4,Cystatin-S,Homo sapiens,uniprot_api
P01619,KV320_HUMAN,IGKV3-20,Immunoglobulin kappa variable 3-20,Homo sapiens,uniprot_api
P01857,IGHG1_HUMAN,IGHG1,Immunoglobulin heavy constant gamma 1,Homo sapiens,uniprot_api
P01011,AACT_HUMAN,SERPINA3,Alpha-1-antichymotrypsin,Homo sapiens,uniprot_api
P01042,KNG1_HUMAN,KNG1,Kininogen-1,Homo sapiens,uniprot_api
P00751,CFAB_HUMAN,CFB,Complement factor B,Homo sapiens,uniprot_api
P01714,LV319_HUMAN,IGLV3-19,Immunoglobulin lambda variable 3-19,Homo sapiens,uniprot_api
P01624,KV315_HUMAN,IGKV3-15,Immunoglobulin kappa variable 3-15,Homo sapiens,uniprot_api
P01767,HV353_HUMAN,IGHV3-53,Immunoglobulin heavy variable 3-53,Homo sapiens,uniprot_api
P01614,KVD40_HUMAN,IGKV2D-40,Immunoglobulin kappa variable 2D-40,Homo sapiens,uniprot_api
P02008,HBAZ_HUMAN,HBZ,Hemoglobin subunit zeta,Homo sapiens,uniprot_api
P02100,HBE_HUMAN,HBE1,Hemoglobin subunit epsilon,Homo sapiens,uniprot_api
P02786,TFR1_HUMAN,TFRC,Transferrin receptor protein 1,Homo sapiens,uniprot_api
P02042,HBD_HUMAN,HBD,Hemoglobin subunit delta,Homo sapiens,uniprot_api
P02787,TRFE_HUMAN,TF,Serotransferrin,Homo sapiens,uniprot_api
P02768,ALBU_HUMAN,ALB,Albumin,Homo sapiens,uniprot_api
P01877,IGHA2_HUMAN,IGHA2,Immunoglobulin heavy constant alpha 2,Homo sapiens,uniprot_api
P02511,CRYAB_HUMAN,CRYAB,Alpha-crystallin B chain,Homo sapiens,uniprot_api
P02538,K2C6A_HUMAN,KRT6A,"Keratin, type II cytoskeletal 6A",Homo sapiens,uniprot_api
P02649,APOE_HUMAN,APOE,Apolipoprotein E,Homo sapiens,uniprot_api
P02743,SAMP_HUMAN,APCS,Serum amyloid P-component,Homo sapiens,uniprot_api
P02747,C1QC_HUMAN,C1QC,Complement C1q subcomponent subunit C,Homo sapiens,uniprot_api
P01861,IGHG4_HUMAN,IGHG4,Immunoglobulin heavy constant gamma 4,Homo sapiens,uniprot_api
P02656,APOC3_HUMAN,APOC3,Apolipoprotein C-III,Homo sapiens,uniprot_api
P02746,C1QB_HUMAN,C1QB,Complement C1q subcomponent subunit B,Homo sapiens,uniprot_api
P01859,IGHG2_HUMAN,IGHG2,Immunoglobulin heavy constant gamma 2,Homo sapiens,uniprot_api
P01860,IGHG3_HUMAN,IGHG3,Immunoglobulin heavy constant gamma 3,Homo sapiens,uniprot_api
P02533,K1C14_HUMAN,KRT14,"Keratin, type I cytoskeletal 14",Homo sapiens,uniprot_api
P02654,APOC1_HUMAN,APOC1,Apolipoprotein C-I,Homo sapiens,uniprot_api
P01893,HLAH_HUMAN,HLA-H,"Putative HLA class I histocompatibility antigen, alpha chain H",Homo sapiens,uniprot_api
P02647,APOA1_HUMAN,APOA1,Apolipoprotein A-I,Homo sapiens,uniprot_api
P02652,APOA2_HUMAN,APOA2,Apolipoprotein A-II,Homo sapiens,uniprot_api
P02749,APOH_HUMAN,APOH,Beta-2-glycoprotein 1,Homo sapiens,uniprot_api
P02790,HEMO_HUMAN,HPX,Hemopexin,Homo sapiens,uniprot_api
P01876,IGHA1_HUMAN,IGHA1,Immunoglobulin heavy constant alpha 1,Homo sapiens,uniprot_api
P04259,K2C6B_HUMAN,KRT6B,"Keratin, type II cytoskeletal 6B",Homo sapiens,uniprot_api
P03951,FA11_HUMAN,F11,Coagulation factor XI,Homo sapiens,uniprot_api
P04080,CYTB_HUMAN,CSTB,Cystatin-B,Homo sapiens,uniprot_api
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,Homo sapiens,uniprot_api
P04844,RPN2_HUMAN,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,Homo sapiens,uniprot_api
P03928,ATP8_HUMAN,MT-ATP8,ATP synthase F(0) complex subunit 8,Homo sapiens,uniprot_api
P04004,VTNC_HUMAN,VTN,Vitronectin,Homo sapiens,uniprot_api
P04114,APOB_HUMAN,APOB,Apolipoprotein B-100,Homo sapiens,uniprot_api
P04196,HRG_HUMAN,HRG,Histidine-rich glycoprotein,Homo sapiens,uniprot_api
P04350,TBB4A_HUMAN,TUBB4A,Tubulin beta-4A chain,Homo sapiens,uniprot_api
P04746,AMYP_HUMAN,AMY2A,Pancreatic alpha-amylase,Homo sapiens,uniprot_api
P02810,PRPC_HUMAN,PRH1,Salivary acidic proline-rich phosphoprotein 1/2,Homo sapiens,uniprot_api
P03952,KLKB1_HUMAN,KLKB1,Plasma kallikrein,Homo sapiens,uniprot_api
P04040,CATA_HUMAN,CAT,Catalase,Homo sapiens,uniprot_api
P04083,ANXA1_HUMAN,ANXA1,Annexin A1,Homo sapiens,uniprot_api
P04843,RPN1_HUMAN,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,Homo sapiens,uniprot_api
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,Homo sapiens,uniprot_api
P02795,MT2_HUMAN,MT2A,Metallothionein-2,Homo sapiens,uniprot_api
P04264,K2C1_HUMAN,KRT1,"Keratin, type II cytoskeletal 1",Homo sapiens,uniprot_api
P04732,MT1E_HUMAN,MT1E,Metallothionein-1E,Homo sapiens,uniprot_api
P04792,HSPB1_HUMAN,HSPB1,Heat shock protein beta-1,Homo sapiens,uniprot_api
P04179,SODM_HUMAN,SOD2,"Superoxide dismutase [Mn], mitochondrial",Homo sapiens,uniprot_api
P04439,HLAA_HUMAN,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",Homo sapiens,uniprot_api
P04278,SHBG_HUMAN,SHBG,Sex hormone-binding globulin,Homo sapiens,uniprot_api
P04424,ARLY_HUMAN,ASL,Argininosuccinate lyase,Homo sapiens,uniprot_api
P05787,K2C8_HUMAN,KRT8,"Keratin, type II cytoskeletal 8",Homo sapiens,uniprot_api
P05783,K1C18_HUMAN,KRT18,"Keratin, type I cytoskeletal 18",Homo sapiens,uniprot_api
P05090,APOD_HUMAN,APOD,Apolipoprotein D,Homo sapiens,uniprot_api
P05452,TETN_HUMAN,CLEC3B,Tetranectin,Homo sapiens,uniprot_api
P05062,ALDOB_HUMAN,ALDOB,Fructose-bisphosphate aldolase B,Homo sapiens,uniprot_api
P05156,CFAI_HUMAN,CFI,Complement factor I,Homo sapiens,uniprot_api
